game_id, tries, solution, status, guess_sequence

1, 17, iconografă, OK, raioăncgf
2, 15, fagocitul, OK, aciutlogf
3, 9, apicolilor, OK, pcaiorl
4, 22, hipoplazii, OK, hoailpz
5, 15, prohodi, OK, ohirpd
6, 11, cioplea, OK, plaieoc
7, 19, covârșitelor, OK, viertolâcș
8, 16, pârguirile, OK, puirelâg
9, 14, burghierile, OK, reilubgh
10, 16, samavolnicii, OK, mianlscvo
11, 19, cășăiește, OK, ătiecș
12, 8, sisalul, OK, saiul
13, 7, cinerariile, OK, rainelc
14, 22, dezaglomerăm, OK, arelomădgz
15, 15, tetrodă, OK, răeotd
16, 23, mânjiturii, OK, urintâmj
17, 15, desofisticării, OK, efirtoăscd
18, 6, tăieri, OK, trieă
19, 20, gentileților, OK, ilerontgț
20, 8, nenorocitul, OK, cieurntol
21, 9, înaintă, OK, itaăîn
22, 11, istmicul, OK, ulitscm
23, 19, ascuțitunghicul, OK, cuaintlsghț
24, 13, obnubilărilor, OK, oăirnlub
25, 13, bumbăcelului, OK, ăcieulmb
26, 17, postăvăriile, OK, ărtliespov
27, 22, centrozomul, OK, eluorntcmz
28, 17, debavurase, OK, usaerbdv
29, 18, vramițe, OK, viaremț
30, 5, retori, OK, tieor
31, 14, epistolarelor, OK, ilaerotsp
32, 19, închiabureați, OK, hbairnecuîț
33, 10, laminatoarea, OK, learntiom
34, 12, platinez, OK, ezaintlp
35, 19, țăndărelei, OK, drienlăț
36, 18, tevaturi, OK, arietuv
37, 20, fidanțata, OK, fdantiț
38, 25, exondările, OK, eliornădx
39, 15, decomandată, OK, maeonătcd
40, 14, omagiali, OK, mlaiog
41, 13, stâlpisem, OK, peitlsâm
42, 17, elfilor, OK, eliorf
43, 14, deconcertantele, OK, caerntlod
44, 14, gagicului, OK, iualcg
45, 13, apelarăm, OK, alermăp
46, 15, spermatofitelor, OK, ofartielsmp
47, 17, necredincioșilor, OK, roinlcedș
48, 20, cinstețul, OK, stieunlcț
49, 20, neoformațiunii, OK, oraineumfț
50, 14, pegmatitul, OK, pgaiteulm
51, 20, plutuiește, OK, teiulpș
52, 22, cintezii, OK, ientcz
53, 17, folfăiesc, OK, oieălscf
54, 16, otorinolaringologelor, OK, ilareontg
55, 22, estetizantei, OK, eaintsz
56, 22, balaoacheșă, OK, băalcehșo
57, 20, notăriță, OK, oărntiț
58, 20, duleți, OK, dlieuț
59, 24, rickettsiozei, OK, esiortczk
60, 5, cireșe, OK, cșier
61, 23, zgărdat, OK, ădartgz
62, 20, prețioaselor, OK, olaierspț
63, 23, dimprejur, OK, drieumpj
64, 13, bulbucat, OK, ltaucb
65, 8, arierdună, OK, dnaieuăr
66, 14, flacidei, OK, ciaeldf
67, 19, convenționali, OK, țlaieoncv
68, 11, cuconiță, OK, țăiunoc
69, 8, neliniștitorului, OK, nșieurtlo
70, 21, bihindisirile, OK, brinlesdh
71, 15, împlinirea, OK, lnaiermîp
72, 16, instigând, OK, isnâtdg
73, 8, recente, OK, rcent
74, 13, emblemă, OK, eălmb
75, 12, singurașul, OK, gșaiurnls
76, 13, subsecretarului, OK, etaiurlscb
77, 20, devitalizaserăm, OK, eăartlsmdviz
78, 22, subapreciez, OK, riaeuscbpz
79, 8, clasatului, OK, clatius
80, 16, faraonicul, OK, rnaiulcof
81, 12, înrolărilor, OK, roinlăî
82, 22, primeziu, OK, ruiempz
83, 7, cruciatului, OK, caiurtl
84, 14, prodigatele, OK, poairtledg
85, 17, vina, OK, naiv
86, 12, cifrarăm, OK, fraiăcm
87, 18, înfruntasem, OK, smaeurnîtf
88, 18, vioșeli, OK, oșielv
89, 19, amușiserăți, OK, ățairesmuș
90, 17, telegrafiară, OK, eraiătlgf
91, 10, citronadele, OK, adierntloc
92, 20, baschetbaliștilor, OK, sraiteolchbș
93, 9, septicul, OK, plieutsc
94, 17, veneno, OK, noev
95, 16, gudronăm, OK, oărnumdg
96, 15, cordenciului, OK, crieunlod
97, 19, stropșire, OK, stieropș
98, 11, foiletonist, OK, fientols
99, 11, pliciseră, OK, săirelcp
100, 8, achitat, OK, atich

Total tries: 1547
